Job Title,Avg Salary,Salary Type,Number of Salaries Reported,Salary Description,Source URL
data entry clerk,"$2,246",per month,21.7k ,"The average salary for a data entry clerk  is $2,246 per month in the United States. ",https://www.indeed.com/career/data-entry-clerk/salaries
entry level data analyst,"$60,030",per year,190,"The average salary for an  Entry Level Data Analyst is $60,030 per year in the United States. Salary estimates are based on 190 salaries submitted anonymously to Indeed by Entry Level Data Analyst employees, users, and collected from past and present job advertisements on Indeed in the past 36 months.",https://www.indeed.com/salaries/entry%20level%20data%20analyst-Salaries
junior data analyst,"$57,186",per year,160 ,"The average salary for a junior data analyst  is $57,186 per year in the United States. ",https://www.indeed.com/career/junior-data-analyst/salaries
data analyst,"$75,087",per year,6k ,"The average salary for a data analyst  is $75,087 per year in the United States and  $2,500 cash bonus per year.",https://www.indeed.com/career/data-analyst/salaries
senior data analyst,"$96,154",per year,1.6k ,"The average salary for a senior data analyst  is $96,154 per year in the United States and  $3,650 cash bonus per year.",https://www.indeed.com/career/senior-data-analyst/salaries
data engineer,"$129,402",per year,7.8k ,"The average salary for a data engineer  is $129,402 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/data-engineer/salaries
data scientist,"$121,625",per year,5.2k ,"The average salary for a data scientist  is $121,625 per year in the United States. ",https://www.indeed.com/career/data-scientist/salaries
senior data scientist,"$151,027",per year,1.5k ,"The average salary for a senior data scientist  is $151,027 per year in the United States. ",https://www.indeed.com/career/senior-data-scientist/salaries
lead data scientistprincipal data scientist,NaN,per year,NaN,NaN,https://www.indeed.com/salaries/lead%20data%20scientistprincipal%20data%20scientist-Salaries
business analyst,"$80,034",per year,7.8k ,"The average salary for a business analyst  is $80,034 per year in the United States and  $4,000 cash bonus per year.",https://www.indeed.com/career/business-analyst/salaries
Business intelligence analyst,"$95,829",per year,1.6k ,"The average salary for a business intelligence analyst  is $95,829 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/business-intelligence-analyst/salaries
Business intelligence developer,"$102,221",per year,1.7k ,"The average salary for a business intelligence developer  is $102,221 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/business-intelligence-developer/salaries
software engineer,"$110,124",per year,37.6k ,"The average salary for a software engineer  is $110,124 per year in the United States and  $4,000 cash bonus per year.",https://www.indeed.com/career/software-engineer/salaries
Senior Software Engineer,"$132,408",per year,26.7k ,"The average salary for a senior software engineer  is $132,408 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/senior-software-engineer/salaries
Chief information officer,"$129,933",per year,453 ,"The average salary for a chief information officer  is $129,933 per year in the United States and  $21,200 profit sharing per year.",https://www.indeed.com/career/chief-information-officer/salaries
Business Systems Analyst,"$90,481",per year,3.5k ,"The average salary for a business systems analyst  is $90,481 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/business-systems-analyst/salaries
Data Warehouse Architect,"$134,367",per year,743,"The average salary for a  Data Warehouse Architect is $134,367 per year in the United States. Salary estimates are based on 743 salaries submitted anonymously to Indeed by Data Warehouse Architect employees, users, and collected from past and present job advertisements on Indeed in the past 36 months. The typical tenure for a  Data Warehouse Architect is less than 1 year.",https://www.indeed.com/salaries/data-warehouse-architect-Salaries
Software Architect,"$138,735",per year,12.9k ,"The average salary for a software architect  is $138,735 per year in the United States and  $10,000 cash bonus per year.",https://www.indeed.com/career/software-architect/salaries
Database manager,"$64,908",per year,234,"The average salary for a  Database Manager is $64,908 per year in the United States. Salary estimates are based on 234 salaries submitted anonymously to Indeed by Database Manager employees, users, and collected from past and present job advertisements on Indeed in the past 36 months. The typical tenure for a  Database Manager is 1-3 years.",https://www.indeed.com/salaries/database-manager-Salaries
Senior Data modeler,"$106,303",per year,62,"The average salary for a  Senior Data Modeler is $106,303 per year in the United States. Salary estimates are based on 62 salaries submitted anonymously to Indeed by Senior Data Modeler employees, users, and collected from past and present job advertisements on Indeed in the past 36 months. The typical tenure for a  Senior Data Modeler is less than 1 year.",https://www.indeed.com/salaries/senior-data-modeler-Salaries
Database developer,"$89,521",per year,454 ,"The average salary for a database developer  is $89,521 per year in the United States and  $2,800 cash bonus per year.",https://www.indeed.com/career/database-developer/salaries
Database administrator,"$98,157",per year,2.5k ,"The average salary for a database administrator  is $98,157 per year in the United States. ",https://www.indeed.com/career/database-administrator/salaries
Machine learning engineer,"$144,300",per year,1.6k ,"The average salary for a machine learning engineer  is $144,300 per year in the United States. ",https://www.indeed.com/career/machine-learning-engineer/salaries
tableau developer,$56.38,per hour,339,"The average salary for a  Tableau Developer is $56.38 per hour in the United States. Salary estimates are based on 339 salaries submitted anonymously to Indeed by Tableau Developer employees, users, and collected from past and present job advertisements on Indeed in the past 36 months.",https://www.indeed.com/salaries/tableau%20developer-Salaries
